"Restaurant Depot #39",,"Customer #3900367"
"1477 Helm Dr",,"GAYLORD RESTAURANT(only ege , manpreet can shop)"
"Las Vegas, NV 89119",,"3700,W FLAMINGO RD"
"(702) 260-4100",,"LAS VEGAS, NV 891034043"

"Invoice: 11471","Terminal: 16","2026/06/01 1:59 pm"
UPC,Description,"Unit Qty","Case Qty",Price
-2,"Previous Balance",0,0,$0.00
76069557419,"SPC CINNAMON STCKS 2LB   ",1,0,$31.76
76069520304,"SPC WHOLE FENNEL   4LB   ",1,0,$19.41
20772320000,"CHX BRST JMB             ",40,0,$71.20
20776580000,"CHX LEG MEAT JMB         ",40,0,$67.60
20776580000,"CHX LEG MEAT JMB         ",40,0,$67.60
20776580000,"CHX LEG MEAT JMB         ",40,0,$67.60
20776580000,"CHX LEG MEAT JMB         ",40,0,$67.60
20776580000,"CHX LEG MEAT JMB         ",40,0,$67.60
20776580000,"CHX LEG MEAT JMB         ",40,0,$67.60
20790420000,"LAMB LEG BNLS FRZ  AUS   ",41.18,0,$267.26
20790420000,"LAMB LEG BNLS FRZ  AUS   ",41.18,0,-$4.12
20790420000,"LAMB LEG BNLS FRZ  AUS   ",41.57,0,$265.63
20790420000,"LAMB LEG BNLS FRZ  AUS   ",44.35,0,$283.40
20790420000,"LAMB LEG BNLS FRZ  AUS   ",39.63,0,$253.24
20790420000,"LAMB LEG BNLS FRZ  AUS   ",41.13,0,$262.82
20790420000,"LAMB LEG BNLS FRZ  AUS   ",40.74,0,$260.33
20790420000,"LAMB LEG BNLS FRZ  AUS   ",42.01,0,$268.44
20790420000,"LAMB LEG BNLS FRZ  AUS   ",39.68,0,$253.56
0,Sub-Total,0,0,"$2,638.53"
0,Tax,0,0,$0.00
0,Total,0,0,"$2,638.53"
0,"MC/VISA 5587",0,0,"$2,638.53"
0,Balance,0,0,$0.00
