"Restaurant Depot #39",,"Customer #3900367"
"1477 Helm Dr",,"GAYLORD RESTAURANT(only ege , manpreet can shop)"
"Las Vegas, NV 89119",,"3700,W FLAMINGO RD"
"(702) 260-4100",,"LAS VEGAS, NV 891034043"

"Invoice: 17352","Terminal: 17","2026/06/01 11:47 am"
UPC,Description,"Unit Qty","Case Qty",Price
-2,"Previous Balance",0,0,$0.00
81008518222,"PDU PPR SERRANO 5#       ",1,0,$12.84
4612790014,"PDU GINGER FR 5LBS       ",1,0,$7.46
2060042647,"PD HRB MINT              ",1,0,$5.63
2060042647,"PD HRB MINT              ",1,0,$5.63
7127035817,"CHZ PANEER LOAF    5#    ",0,1,$86.67
3022302671,"PD CILANTRO 1#           ",0,2,$30.22
2060042708,"PD PPR BELL GREEN        ",1,0,$37.53
74069569998,"PD CAUL 1CT              ",0,1,$28.76
74069569998,"PD CAUL 1CT              ",0,1,$28.76
7929816900,"EVIAN WATER PET    500ML ",1,0,$18.24
7929816900,"EVIAN WATER PET    500ML ",1,0,$18.24
7929816900,"EVIAN WATER PET    500ML ",1,0,$18.24
2700038251,"KETCHUP HUNTS      #10   ",0,1,$37.84
76069501474,"BEAN KDNY D/RED CQ       ",0,1,$32.60
74504200010,"BASMATI CHEF SECRT 40LB  ",1,0,$46.95
74504200010,"BASMATI CHEF SECRT 40LB  ",1,0,$46.95
4900002469,"COKE DIET          16.9Z ",1,0,$20.27
5900041556,"FLOUR GOLDN TEMPLE 2/20# ",0,1,$39.10
76069500575,"YOGURT PLN JF 32#        ",1,0,$37.89
76069500575,"YOGURT PLN JF 32#        ",1,0,$37.89
76069500575,"YOGURT PLN JF 32#        ",1,0,$37.89
76069500868,"CHZ JACK/CHED SHRD 5#    ",0,1,$41.09
20772320000,"CHX BRST JMB             ",40,0,$71.20
20776700000,"CHX LEG QTR SML          ",40,0,$31.60
76069501000,"VEG PEAS JFARMS    2.5#  ",0,1,$38.20
0,Sub-Total,0,0,$817.69
0,Tax,0,0,$0.00
0,Total,0,0,$817.69
0,"MC/VISA 4335",0,0,$817.69
0,Balance,0,0,$0.00
